epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.409,1.06871,2.83805,1.41897,0.7941,0.07715,0.45943,0.32849,0.89946,2.98118,1.2584,0.000467512,0.000467512,0.000467512
2,876.091,0.97853,2.14919,1.34691,0.5063,0.56811,0.49797,0.36618,0.9216,2.35182,1.23088,0.000850405,0.000850405,0.000850405
3,1326.85,0.95159,1.88401,1.31212,0.46196,0.5414,0.49225,0.36797,1.02381,2.17437,1.32327,0.00113898,0.00113898,0.00113898
4,1768.02,0.89568,1.72742,1.28445,0.56905,0.6541,0.60168,0.45379,0.95247,1.84698,1.23399,0.00100459,0.00100459,0.00100459
5,2210.74,0.84166,1.54321,1.24985,0.66155,0.59264,0.63991,0.51012,0.82792,1.65219,1.17086,0.000863116,0.000863116,0.000863116
6,2688.92,0.78,1.42321,1.20247,0.73843,0.67251,0.71744,0.57527,0.76227,1.3709,1.09517,0.000721645,0.000721645,0.000721645
7,3149.21,0.71549,1.26441,1.16058,0.74163,0.71809,0.72555,0.58034,0.75729,1.28735,1.08711,0.000580174,0.000580174,0.000580174
8,3588.14,0.68964,1.21783,1.1481,0.74558,0.69991,0.76308,0.63642,0.6986,1.19,1.0493,0.000438703,0.000438703,0.000438703
9,4027.53,0.62864,1.10296,1.11388,0.78622,0.73869,0.80322,0.66884,0.69225,1.0899,1.02812,0.000297232,0.000297232,0.000297232
10,4679.15,0.61221,1.06368,1.09211,0.76284,0.75345,0.81266,0.68102,0.64216,1.02212,1.0084,0.000155761,0.000155761,0.000155761
